"","text","sentiment"
"1","kalo aernya segitumah kolem emangnye gue lele yeh",2
"2","aka menteri",2
"3","sekda idiot",1
"4","air beda banjir",2
"5"," kemana banjir parah program jalankan prokasih dll diadukan kena banjir kena banjir aneh",1
"6","mohon usia ditiru",1
"7","lawaq",2
"8","bissmillah semoga jakarta berair amin gua doain tuh analogi anehh njiirrr",1
"9","pea banget ",2
"10","buk urus anak kasih petuah goblok menyesatkan anies ahok banjir jakarta pindahkan ibukota logika mainkan",1
"11"," kayak gabenernya",1
"12","semoga tenang surga",1
"13"," ilmiah bahasanya",2
"14"," pasokan air kedamaian mas",2
"15"," jaman ahok ptg dana penanggulangan banjir mengadakan formula e t situ paham logika kagak tau prinsip teknik sipil konstruksi",1
"16","ya untung pimpin kayak lo bro dki jualan cctv ",1
"17","oh kalo kota tenggelam tubuh air",2
"18"," mengomong kotor bos jaman anies banjir nya berjilid jilid ditambah mengomong biarkan emgnya menjabat ngapai bos",1
"19"," pelawak sekda dki",2
"20","njaaayy disuruh menikmati coba kena banjirr",1
"21"," warga dki",2
"22","duh ya allah orang banget ya",1
"23"," kali dengar pernyataan sekda bikin mengakak mengomong daratan lautan lautan ya",2
"24"," bodoh jaman ahok banjir minimalisir berkurang titik banjir gubernur parah jaman canggih anggran apbd bertambah sayang gubernur bodoh rakyat menderita",1
"25"," santun",2
"26","miaaw bebek rada kesal muka nya sih goblok kalo salah zaman nya btp pecat angkat sih gabenet anus",1
"27","nikmatinn batt ",2
"28","sok stupid",1
"29"," nih sekda jajarannya hidup air darat kalo pas orang pintar ",1
"30","mataaaaaram",2
"31","air nya aor minum pakkk air banjir ",2
"32"," statement bodoh viral ya",1
"33","funny",2
"34"," diamin orang kayak berani laporin coba tungguin kali jam logikanya nyebuttin nama orang komentar bebas berpendapat sopan orang disebuttin nama mengapai takut wkwkwk akun bodong diamin ngaruh komentar ",1
"35","woy ah elaaah",2
"36","sungguh berpasrah usaha sungguh durjana kau jarwo",1
"37","syaefulloh pejabat publik ucapannya bertanggung empati masyarakat terdampak banjir",1
"38","wkwwkw tolol",2
"39","manajamen air api udara",2
"40","tuh terima cc minati",2
"41"," komen",2
"42"," kalo gempa dinikmati hp getar",2
"43","ayo terussssss wkwkw",2
"44","orang sinting",1
"45"," disentil ginjalnya",2
"46","mengomong opo iki solusi banjir suruh nikmati ",1
"47","membela mah sah sah statment lucu ",2
"48","bedebahorang iniapa mikirbanjir korban jiwarumah rusakhncurperabot hancurelektronik hncursurat brharga lenyaporang kerja susahsekolah liburmsih cuap kayagitu",1
"49","hati menepuk air dulang terpercik muka lihat komen kepala negara",1
"50"," banget sih biarpun tajir ya banjir nginep hotel mewah sewa jasa pembersih rumah beli barang menggantikan barang rusak banjir berasa repotnya mengeluarkan biaya",1
"51","provinsi segitu luasnya ditempatin penduduk menerus yaiyalah banjir",1
"52","aparatur negara ya",1
"53","ta e",1
"54"," cuman selamat menikmati",2
"55","buang laut",2
"56","aehhh goblok nya",1
"57","untung banjir",2
"58","gue rumahnya kebanjiran coba kebanjiran semalam gue tau membela anies",1
"59"," orang kalo mengomong dipikir kali ya",1
"60","pakai komen free time bilang pengangguran",1
"61"," sakit hati loh korban banjir kalo baca pendapat hati doa orang terzolimi dikabulkan",1
"62","wkwk indonesia nya perairan wajar ya ",2
"63","wkwkwkwwkwkksuka suka ente bosss",2
"64","dikit lucu dek",2
"65","maksud nya air banjir nya minum ",2
"66","ya lu mah nikmat duit membela gubernur warga mah hamsyong boro boro duit nombok duit rusak rumah",1
"67"," goblok banget sih",1
"68","pas pembagian otak antri ya nih",1
"69"," anies sekda visioner tubuh nya air dki jakarta dijadikan provinsi kepulauan pulau seribu pulau jakarta barat timur utara selatan pusat bingung emoticon ",1
"70","lumayan nebeng tenar kkkkkkkkk",2
"71","tolong dievaluasi ",1
"72"," ngopi ditemani musik indie syahdu ",2
"73","sungguh cerdas komentarnya alami natural kebodohannya ",1
"74","indonesia pertiganya air",2
"75"," sekda dki saefullah banjirnya kali banjirnya rs terkena banjir perkarangan istana negara tergenang banjir perlintasan krl gara banjir bikin malu negara",1
"76","katara kaprodi",2
"77","dengkul mu melocot dinikmati",1
"78","dinikmati drun",2
"79","air sisanya dosa",1
"80","wiro murid sableng sinto guru gendeng gurunya gendeng muridnya sableng hihiii",1
"81"," tubuh pertiga nya air air banjir ",2
"82","ngeless teros bela terooss",2
"83","alah kntl jaman ahok jama anies banjir bos gunernurnya jakarta kota rawa sadar nama rawa nya laut tanah kokoh serap air curah hujan logika analisis mainkan orang betapa bodohnya ",1
"84","mabok kwkwk",2
"85"," netizen bego salah anis zaman belanda detik banjir jakarta sulit atasi coba loh check youtube penjelasan sih panji banjir jakarta lebarrrr",2
"86","air kencing diitung pakk",2
"87","teruskan biar tenar nginep gratis polda lumayan gratis minum situ pengangguran tamatan sd susah cari duit",1
"88","ku eh meme comic",2
"89","wakakakakakakakak",2
"90","ayo ",2
"91","banjir jakarta mudah diatasi presiden",2
"92"," hablumnya ipuuuuuuul",2
"93"," sekda cocok wagub min sohibuliman tvone",2
"94","deh gila sikawan ",1
"95"," jari eloh kriting gua meladeni free time gua",1
"96"," ok ketemu",1
"97","plelu mledug bwang",1
"98"," air hujan tuh pocari sweat ",2
"99"," segrup wan aibon otak nya kayak ya ormas bilang banjir libur gubernurnya soleh sekelas sekda beda ",1
"100","jakarta banjir marahnya anies heran gue lihat orang jaman ",2
"101","oh ya follow belumjgn intip ",2
"102","menikmati ye",2
"103","lo contoh netijen isi otak nya sepi",1
"104","kebanjiran dinikmati hei sekda sekda mengendalikan banjir sekda bertahun mengapai ",1
"105","aka paan deh",2
"106","nikmati nikmati biji mata lu",1
"107","sih ahli air",2
